1000 2000
1294 1561 128583447
540 741 111037306
757 1443 654185328
1243 1733 404730627
191 214 884674536
1099 1409 785789945
27 761 147249555
33 599 938806780
109 585 609842709
289 901 939438290
929 1536 550151418
442 483 783072262
261 1690 329428374
154 1412 103264325
376 1015 574980247
603 1409 140273192
1017 1756 565172535
1621 1989 363413106
131 679 935236690
801 1297 810959285
729 1144 988396686
222 764 448598244
188 207 480042119
913 1625 784405528
64 1322 251905653
1431 1501 177454860
884 1880 226982609
370 1159 275521995
969 1285 487668876
1312 1329 899386360
1304 1351 974096229
42 1506 371804670
369 1450 6627634
974 1807 767644097
731 874 595095886
1654 1866 376264661
255 1501 958005460
350 1259 834021191
1345 1709 998467284
1413 1665 706426274
700 970 6701295
1200 1345 714431089
820 1903 213056882
292 700 526995283
551 979 457806201
499 755 504513774
140 258 771536726
625 1935 944474640
812 1945 316814387
1019 1495 865486732
349 1604 953398112
628 706 217062994
120 983 70587523
86 1909 686319644
703 1852 233635498
1295 1732 442012835
626 892 239380181
919 1237 727835993
270 1618 917052525
930 1960 175370368
73 1941 121883209
1169 1382 676653505
367 1339 552391796
1263 1300 440452579
1701 1789 744957783
495 1042 242981753
394 609 759862141
58 1453 44037547
164 290 876850202
1408 1914 665612630
777 1704 803135734
235 762 214927480
571 1532 200881197
765 1461 948785281
276 1449 427273993
183 387 835525860
53 777 721939392
187 1244 194755918
829 1969 591053570
114 975 633899565
666 1661 797390679
1004 1261 272634453
348 794 906640003
196 1277 554953006
403 451 32987280
172 495 498375781
253 999 937524584
1543 1726 813861562
1336 1766 742419605
1043 1694 701073916
526 654 772820971
194 1019 263236639
1179 1295 393294504
503 533 382353432
899 1018 77563479
1011 1058 935805366
357 1557 274167912
609 1427 701011037
488 1054 40157173
860 1030 46799598
611 1278 386460733
1545 1830 957010867
413 869 242034682
469 663 378071632
374 1421 765611604
227 282 786323535
537 1281 103312326
7 488 682477761
1406 1699 717902896
1001 1475 583136251
1310 1770 34211107
822 1067 4640620
1476 1675 835723110
20 635 984816697
740 1707 265118514
1132 1685 67987164
4 202 840224537
34 1433 933573795
520 575 767160927
181 901 298872787
809 968 442949692
62 1761 341055606
60 274 71688350
763 884 660367484
538 655 380897240
121 1905 651531840
890 1735 152954687
415 811 303820925
1158 1197 338410522
350 2000 7458451
1228 1313 335478276
625 1569 915762844
172 416 639558640
698 1197 516209718
1841 1919 998263747
1738 1790 697734726
193 1007 87807302
509 1389 92824804
14 1879 908928407
636 1074 832695289
173 473 921763623
899 1175 497119541
1809 1975 735794720
1290 1716 421702065
1394 1573 959317201
99 1933 302814090
1453 1998 545082732
913 1783 234531333
163 1884 503290374
226 657 214286685
478 1162 256205477
117 447 574138803
136 595 515897157
447 1672 424316103
130 235 986287713
745 1197 118261170
394 629 616482051
1394 1734 820033956
792 1767 845705791
1 981 590982015
321 1557 741433715
738 1151 199435514
39 1089 301858028
851 1312 303088548
1525 1995 577779354
176 613 587558458
750 1087 773158412
